id,username,created_at,lng,lat,text
1517607506385596417,JohannBerg,Fri Apr 22 20:53:19 +0000 2022,-114.087851,51.027664,@MarissaOchsner Guess you won't be walking on the sun
1517607571435048965,safensoundfest,Fri Apr 22 20:53:35 +0000 2022,-122.917508,49.2067515,"Who’s tryna party with us? We’re coming in with some heavy hitters this year 🔥 Buckle up, because it’s going to get… https://t.co/N0nu4PtkaG"
1517607655316987904,mandy_rushton,Fri Apr 22 20:53:55 +0000 2022,-123.13083649999999,49.1742415,"April 22, 2022Happy Earth Day! Let your heart swell with gratitude for the place we call home.Warmly,The Good Trade Team"
1517607662292135942,slav_metalurges,Fri Apr 22 20:53:57 +0000 2022,-113.4926175,53.5558195,This except Thirteen.
1517607699625791488,miguelsworld01,Fri Apr 22 20:54:06 +0000 2022,-57.902077000000006,48.936189,"@mindyonrye I am happy you found your father, and thank you for sharing😌."
1517607705099128832,_JoeSeppi,Fri Apr 22 20:54:07 +0000 2022,-114.14326249999999,45.4945515,@MRMENACE231 Bro they make fleece lined ones
1517607707729178630,ailawrence,Fri Apr 22 20:54:07 +0000 2022,-57.6840995,48.9503115,"@WBrettWilson @FreshHoods Ok, so call me confused...@W.BrettWilson , you liked this statement made by @mizdefiant a… https://t.co/FhVi7y8UIc"
1517607736866836480,LuisePanrucker,Fri Apr 22 20:54:14 +0000 2022,-122.75264849999999,53.9279525,"Luisesman found #ethereum in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome!… https://t.co/O11ahzf8HK"
1517607751538470912,ScottJurgens,Fri Apr 22 20:54:18 +0000 2022,-114.14326249999999,45.4945515,@Super70sSports The ultimate homework distractor of all time.
1517607767883755520,Troy_A_Hale,Fri Apr 22 20:54:22 +0000 2022,-110.70934,50.0511765,@CdnVampiress @CanadasLifeline My pleasure Sharon! 😊
1517607785298489345,chef_milky,Fri Apr 22 20:54:26 +0000 2022,-104.4963,50.942207,Just posted a photo @ Carzan Local Market https://t.co/hQmEQEwix2
1517607793800269824,RathNatasatch,Fri Apr 22 20:54:28 +0000 2022,-114.14326249999999,45.4945515,"I currently don't have #Netflix and this would be a deal breaker for me ever getting it, and if any of the companie… https://t.co/vrZy99a1O3"
1517607800267976704,KellyWilsonVO,Fri Apr 22 20:54:30 +0000 2022,-120.882482,47.273022,@belindagosbee Nice!
1517607804491628544,ChrisRWiebe,Fri Apr 22 20:54:31 +0000 2022,-96.6736685,49.708451,Your reminder that the MB PCs are:(1) Cutting PSE funding(2) Raising tuition(3) Bullying faculty &amp; staff unions… https://t.co/2jizH4SqXT
1517607804822904837,BartTheHusky,Fri Apr 22 20:54:31 +0000 2022,-120.882482,47.273022,@Rubberasylum You use telegram? Can slip you my name if youd wanna connect off here :p
1517607847449829376,xlostasfoundx,Fri Apr 22 20:54:41 +0000 2022,-97.1526765,49.8538055,"What Happens When You Platinum The Entire Mega Man X Legacy Collection 1 and 2, and Dark Souls?Is That Not Braggi… https://t.co/yFOB3e0wGO"
1517607876251979777,Troy_A_Hale,Fri Apr 22 20:54:48 +0000 2022,-110.70934,50.0511765,@CanadasLifeline Looking forward to 100! 😉
1517607885122932736,jennsmithnelson,Fri Apr 22 20:54:50 +0000 2022,-104.640894,50.455136,@AngieTo00213498 @dbgphx Thank you!
1517607914545893376,mandy_rushton,Fri Apr 22 20:54:57 +0000 2022,-123.13083649999999,49.1742415,I just scored 72 points in the Daily @BroadwayWorld Word Game! Game - 4/22/2022 🌟🌟🌟⭐⭐  https://t.co/6hEybyvJ9o
1517607938793218049,Poncarose1,Fri Apr 22 20:55:03 +0000 2022,-120.882482,47.273022,"“Bitch, if I was as half as good as I wasI'm still twice as good as you'll ever be” https://t.co/lje7QxVGF8"
1517607980740448256,pcryan5,Fri Apr 22 20:55:13 +0000 2022,-123.123581,49.257639,@Limbictweets She won’t win. This time.
1517608050110083073,IsisWise,Fri Apr 22 20:55:29 +0000 2022,-123.123581,49.257639,@barbetta1 @globalnews Exhibit A: Gerald Chipeur (lawyer)👀Exhibit B: Pierre Poilievre 👀 https://t.co/VNtRrqTcNF
1517608053394186243,keiishaxo,Fri Apr 22 20:55:30 +0000 2022,-122.75264849999999,53.9279525,thank you @Northern_Health for doing the responsible &gt;&gt;RESPECTFUL&lt;&lt; thing and notifying the public about this. this… https://t.co/Od772CGsuQ
1517608076785831936,Stu_QPR,Fri Apr 22 20:55:35 +0000 2022,-123.13083649999999,49.1742415,"@TommyWTF1 And? More points, better car, 2nd in the WDC and getting paid more. I’m sure he’s gutted"
1517608156997763074,FHHacks,Fri Apr 22 20:55:55 +0000 2022,-96.3073065,65.8381145,@ItsFoShoJohnnyE @tai_chi67 @bruceguenther Smiddy battles.👇🤯#LetsGoOilers
